Type-Activité;Activité;Nom de l'établissement;Adresse de l'établissement;Code postal;Commune;Code insee;Latitude;Longitude;localisation;Adresse mail;Tél;Site Web;Complément_1;Complément_2
Patrimoine culturel;Architecture;Ferme de Connerie;;44350;GUERANDE;44069;47.295417286409524;-2.4099290065696684;47.295417286409524, -2.4099290065696684;;;;4e quart 18e siècle;Ferme construite en 1778 comme le suggère la date portée sur la lucarne, largement remaniée et augmentée dans la deuxième moitié du XXe siècle.
Patrimoine culturel;Architecture;Ferme de la Métairie-de-la-Lande;;44350;GUERANDE;44069;47.32616590240867;-2.402195753721719;47.32616590240867, -2.402195753721719;;;;Temps modernes;La métairie de la Lande est signalée dans l'aveu de Bissin du 15 septembre 1532. Sur le plan terrier des Landes de la Commune de 1753, elle figure comme appartenant au fief d'Escoublac. D'après le rôle de la capitation, elle est affermée en 1720 à Pierre Robert qui en doit 2,1 livres.L'avant-dernière pièce du bâtiment à l'est constitue sans doute le noyau initial de cette rangée. Tout comme l'arc légèrement brisé qui couvre la porte percée dans le mur nord de cette pièce, les consoles de la cheminée à triple ressaut en quart-de-rond suggèrent une construction qui pourrait remonter au XVIIe siècle. La conversion de la ferme en rangée (bien que celle-ci garde actuellement une emprise au sol proche de celle de 1819) est probablement postérieure à 1851. À cette date la métairie ne comportait qu'un seul ménage de fermier.
Patrimoine culturel;Architecture;Ferme dite métairie de Bellevue;;44350;GUERANDE;44069;47.33201823668101;-2.4548913076897207;47.33201823668101, -2.4548913076897207;;;;Temps modernes;La métairie de Bellevue, dépendant de la seigneurie de Drézeux, est signalée dès 1626 dans un prisage de la seigneurie. En 1720, elle est affermée à Jan Faugaré d'après le registre de la capitation. Bien que très remanié aux XIXe et XXe siècles, le logis pourrait dater de l’Époque moderne. Le reste des bâtiments est postérieur à 1818.
Patrimoine culturel;Architecture;Ferme dite métairie de Bézans, 2e ensemble;;44350;GUERANDE;44069;47.313774350132874;-2.390348651206528;47.313774350132874, -2.390348651206528;;;;1ère moitié 18e siècle;"Ferme reconstruite en 1840 et 1859 à l'emplacement d'un bâtiment plus ancien. Cette ferme constituait certainement la métairie de Bézans dépendant du domaine de Bissin. Rasée vers 1704 pour servir de carrière de pierre lors de la reconstruction du château, elle avait visiblement été reconstruite dans la première moitié du XVIIIe siècle. En 1720, elle est affermée à Guillaume Vaillant d'après le rôle de la capitation. D'après un aveu de Bissin de 1749, elle se composait d'un grand corps de logis couvert de bourre où loge le métayer, un jard à bœufs au bout dudit corps de logis au midi, une chambre couverte de bourre, un jard à vache ; au couchant un jard à brebis, le tout couvert de bourre, le four rue et isuie au couchant et au derriere dudit logis qui est le levant."
Patrimoine culturel;Architecture;Ferme dite métairie de Bois Rochefort, rue du Bois-Rochefort;;44350;GUERANDE;44069;47.33386076341408;-2.4253759231972403;47.33386076341408, -2.4253759231972403;;;;2e moitié 19e siècle;Ferme reconstruite dans la deuxième moitié du XIXe siècle à l'emplacement d'un bâtiment plus ancien signalé sur le cadastre de 1819.
Patrimoine culturel;Architecture;Ferme dite métairie de Brantonnet;;44350;GUERANDE;44069;47.331153858886715;-2.4068287690239223;47.331153858886715, -2.4068287690239223;;;;Temps modernes;Brantonnet était au Moyen Âge une prévôté fieffée de la seigneurie d'Escoublac. La métairie de Brantonnet est signalée dans le rôle de la capitation en 1720. Elle est affermée à cette date à Jan Morice qui en doit 6,1 livres tournois. La métairie et le moulin figurent sur un plan de 1753 et sur le cadastre de 1819. Le bâtiment, bien que très remanié au XXe siècle, pourrait dater de l’Époque moderne. Le fournil, à l'ouest, a remplacé un ancien four à pain signalé sur le cadastre de 1819. Les autres bâtiments sont également postérieurs à cette date.
Patrimoine culturel;Architecture;Ferme dite métairie de Bréhadour;;44350;GUERANDE;44069;47.33944411465743;-2.418224049907139;47.33944411465743, -2.418224049907139;;;;Temps modernes;Métairie dépendant dès 1622 du manoir du Cosquer. En 1697, elle consistait en un corps de logis en deux rangées et deux pignons couvert de rotz et bourre avec ses ruës et yssuie au devant, avec les taiteryes qui sont au bout vers le midy et autre taiterye du costé vers soleil levant et deux petits jardins, l'un du costé du midy proche le four, l'autre vers le nord. Le bâtiment a été très remanié au XIXe et au XXe siècle.
Patrimoine culturel;Architecture;Ferme dite métairie de Bréhany, 1er ensemble;;44350;GUERANDE;44069;47.32332738540145;-2.4141151046378613;47.32332738540145, -2.4141151046378613;;;;16e siècle;La métairie de Bréhany est attestée au moins depuis 1680 dans le registre de la réformation du domaine. En 1720, elle était affermée à Jacques Legall d'après le rôle de la capitation. Le registre des augmentations-diminutions signalent une reconstruction de la maison en 1882 (1819 G3 974). Les linteaux de la porte et de la fenêtre du logis sculptés d'une accolade pourraient être des remplois de la métairie primitive.
Patrimoine culturel;Architecture;Ferme dite métairie de Brénavé;;44350;GUERANDE;44069;47.300723877263714;-2.3944348135794877;47.300723877263714, -2.3944348135794877;;;;18e siècle;Ferme reconstruite probablement dans le 1er quart du XXe siècle sur un bâtiment plus ancien signalé sur le cadastre de 1819.
Patrimoine culturel;Architecture;Ferme dite métairie de Drieno;;44350;GUERANDE;44069;47.34430667466482;-2.3717143930620668;47.34430667466482, -2.3717143930620668;;;;Temps modernes;Ancienne métairie dépendant du manoir de Coëtsal, elle est mentionnée dans un aveu de la seigneurie dès 1582. Signalé sur le cadastre de 1819, le logis a été remanié dans la 2e moitié du XIXe siècle. L'absence de fronton sur ses lucarnes laisse suggérer la présence d'une couverture primitive en roseau.
Patrimoine culturel;Architecture;Ferme dite métairie de Fontenay;;44350;GUERANDE;44069;47.351094217537906;-2.328373999230413;47.351094217537906, -2.328373999230413;;;;2e moitié 18e siècle;La métairie de Fontenay n'apparaît pas sur le plan de l'Equibabeau de 1756. Elle est en revanche présente sur le cadastre de 1819, ce qui atteste une construction entre ces deux années. D'après le registre des augmentations-diminutions, elle a été reconstruite en 1866, puis augmentée au XXe siècle. Le puits (ou fontaine) de Fontenay est signalé sur le plan de 1756 et sur le cadastre de 1819.
Patrimoine culturel;Architecture;Ferme dite métairie de Gras, Maisonneuve-de-Gras;;44350;GUERANDE;44069;47.376439598308174;-2.376599469261706;47.376439598308174, -2.376599469261706;;;;2e quart 19e siècle;Ferme construite probablement en 1839 avec la maison de maître attenante comme le signale le registre des augmentations-diminutions (1819 C2 1220). Elle a été remaniée dans le courant du XXe siècle.
Patrimoine culturel;Architecture;Ferme dite métairie de Kerbacu;;44350;GUERANDE;44069;47.33219042226583;-2.3625829291010287;47.33219042226583, -2.3625829291010287;;;;18e siècle;Ancienne métairie signalée sur la cadastre de 1819 (1819 G1 90) mais absente visiblement des rôles de la capitation en 1720. Elle aurait donc pu être constituée entre ces deux dates. La ferme a été très remaniée dans le courant du XXe siècle. Un four à pain, actuellement détruit, est signalé sur le cadastre de 1819 au nord-est de la parcelle (1819 G1 88).
Patrimoine culturel;Architecture;Ferme dite métairie de Kerbouc;;44350;GUERANDE;44069;47.36107000356032;-2.4439020693138636;47.36107000356032, -2.4439020693138636;;;;Temps modernes;La métairie de Kerbouc, dépendant de la frairie de Coëspéan, est signalée dès 1720 dans le rôle de la capitation. Elle est affermée à cette date à Nicolas Joffreau qui en doit 4 livres. L'actuel bâtiment pourrait dater de l’Époque moderne, bien que très remanié et augmenté à l'ouest, aux XIXe et XXe siècles.
Patrimoine culturel;Architecture;Ferme dite métairie de Kercassier;;44350;GUERANDE;44069;47.33707769360947;-2.3949351312037863;47.33707769360947, -2.3949351312037863;;;;Temps modernes;La métairie de Kercassier est signalée dès 1618 dans l'aveu de la seigneurie du même nom. En 1720, elle est signalée dans le registre de la capitation (frairie de Léveno). À cette date, elle est affermée à Jacques Éon qui en doit 3 livres. Le bâtiment dont le gros œuvre date vraisemblablement de l’Époque moderne a été remanié dans le courant des XIXe et XXe siècles (partie ouest). L'étable à l'ouest est postérieure à 1819.
Patrimoine culturel;Architecture;Ferme dite métairie de Kerconan;;44350;GUERANDE;44069;47.35018543363987;-2.372076995278752;47.35018543363987, -2.372076995278752;;;;Temps modernes;Ancienne métairie dépendant du manoir de Coëtsal. Elle est signalée dans l'aveu de 1582 mais pas dans celui de 1540, ce qui suggère une création entre ces deux dates. En 1694, l'aveu de Coëtsal signale la métairie noble de Querconan avec ses granges et taitteries, rue à battre et à fouller, deux petits jardins. Le logis a visiblement été reconstruit dans la seconde moitié du XIXe siècle sur un bâtiment plus ancien. Le four à pain est signalé sur le cadastre de 1819. Les parties agricoles sont postérieures à cette date. Une aire à battre est signalée dans les matrices cadastrales (E2, parcelle n° 1470).
Patrimoine culturel;Architecture;Ferme dite métairie de Kercredin;;44350;GUERANDE;44069;47.34378922195813;-2.44020263573823;47.34378922195813, -2.44020263573823;;;;Temps modernes;La seigneurie de Kercreden appartenait en 1470 à Jamet du Drézeuc puis en 1679 à Alain de la Bouexière. Il ne reste actuellement aucun vestige d'un éventuel manoir associé à cette terre. La métairie de Kercredin dépendait sans doute du manoir et de la seigneurie du même nom. En 1720, Pierre Éon est cité comme métayer de Kercredin dans les rôles de la capitation. Le bâtiment actuel, très remanié, date peut-être de l’Époque moderne. Il est signalé sur le cadastre de 1819. La remise est en revanche postérieure à cette date. Les bâtiments s'organisaient autour d'une cour sur laquelle ouvrait le logis. Ce dernier était sans doute prolongé à l'origine par des étables et taicteries (toit à porcs). L'absence de fronton à la lucarne de la façade principale du logis suggère la présence d'une couverture en roseau.
Patrimoine culturel;Architecture;Ferme dite métairie de Kerfa;;44350;GUERANDE;44069;47.3188571120781;-2.392891027157963;47.3188571120781, -2.392891027157963;;;;Temps modernes;"Ancienne métairie dépendant du manoir de Bissin datant peut-être de l'époque moderne. En 1720, elle est affermée à Jacques Dalino d'après le registre de la capitation. En 1749, dans un aveu de la seigneurie de Bissin, elle consiste en une maison couverte de bourre ; deux jards et taitries au couchant et au midy, rue et issues au devant et jardin. Elle fut augmentée vers l'est en 1875, puis remaniée à l'ouest au XXe siècle. Un four à pain et une mare sont signalés sur le cadastre de 1819."
Patrimoine culturel;Architecture;Ferme dite métairie de Kerhillier;;44350;GUERANDE;44069;47.32647200586585;-2.4141950140838397;47.32647200586585, -2.4141950140838397;;;;Temps modernes;"La terre de Kerhelier est signalée dans les textes dès la fin du XVe siècle. Elle appartenait à cette date à Guillaume Calon, seigneur de Villejames. En 1489, ce dernier reçoit une franchise de fouage sur trois maisons (Lusidic, Puy-Bourichet et Kerhilier) afin de constituer une métairie. À la fin du XVIe siècle, la terre devient la possession de la famille de Kerveno. Jacques de Kerveno est sieur de Kerhilliers, puis Guillaume, son frère, qui en rend aveu en 1587. En 1679, René Chanu, femme de Jean du Hil, rend déclaration pour Kerhilliers. En 1720, la métairie est mentionnée dans les registres de la capitation ; elle est affermée à cette date à un dénommé Guyonnet. La métairie encore visible dans les années 1990 - dont les parties les plus anciennes dataient sans doute de l’Époque moderne - a été entièrement détruite pour laisser place à un lotissement."
Patrimoine culturel;Architecture;Ferme dite métairie de Kerjacob, Guérande;;44350;GUERANDE;44069;47.34695843052693;-2.3444497597476555;47.34695843052693, -2.3444497597476555;;;;Temps modernes;La métairie de Kerjacob, dépendant de la frairie de Boga, est attestée dès 1720 dans les registre de la capitation. À cette date, elle était affermée à Julien Robert qui en devait 5 livres. L'ancien logis antérieure à 1819 (1819 E1 552) a été entièrement détruit. Seuls subsistent, au sud, des vestiges des étables, dont la présence est signalée sur le cadastre de 1819.
Patrimoine culturel;Architecture;Ferme dite métairie de Kerlany, 1er ensemble;;44350;GUERANDE;44069;47.32465608843216;-2.3801361072132385;47.32465608843216, -2.3801361072132385;;;;Temps modernes;La métairie de Kerlany est signalée dans les registres de la capitation en 1720. À cette date, elle est affermée à Jacques Penga qui en doit 5 livres. Elle dépendait, comme celle de Bézans et de Kerfa, du domaine de Bissin. En 1749, elle consistait en un corps de logis couvert de rotz et bourre où logent le métayer et ses bœufs, au bout dudit logis vers soleil levant, un jard à vaches, et au bout dudit jart un appentis à loger les brebis, rue et isuie au devant donnant sur le Grand chemin de Guérande. Les dispositions décrites dans l'aveu semblent correspondre à celles observées sur le cadastre de 1819. Le logis a été partiellement reconstruit sans doute dans les premières décennies du XXe siècle. Seuls subsistent actuellement des vestiges de l'ancien logis avec sa cheminée à l'ouest. Les parties agricoles, à l'ouest, ont peut-être été construites entre 1749 et 1819. Celles de l'autre côté de la route au nord sont postérieures à 1819. L'étang, visible sur le cadastre ancien et dépendant du domaine de Bissin, est mentionné dans l'aveu de 1749.
Patrimoine culturel;Architecture;Ferme dite métairie de Kerrobert, 1er ensemble;;44350;GUERANDE;44069;47.34084583468683;-2.343460756902141;47.34084583468683, -2.343460756902141;;;;4e quart 18e siècle;Ancienne métairie dépendant de la seigneurie de Kercabus. Elle est mentionnée dès 1691 dans l'égail des fouages de la frairie de Boga. En 1720, elle était occupée par Jan Bernier. Elle a sans doute été reconstruite en 1790 comme l'indique un chronogramme sur le linteau de la porte d'entrée. Augmentée à l'est au milieu du XIXe siècle, elle a été remaniée à la fin du XXe siècle. L'écurie est peut-être antérieure à 1819. La remise est en revanche postérieure à cette date.
Patrimoine culturel;Architecture;Ferme dite métairie de Kerroux;;44350;GUERANDE;44069;47.335529649261424;-2.4595955437937844;47.335529649261424, -2.4595955437937844;;;;limite 17e siècle 18e siècle;La métairie de Kerroux n'est pas mentionnée dans l'aveu de la seigneurie du même nom en 1680. Elle est en revanche affermée en 1711 par Jean-Emmanuel de Kerveno, seigneur de Kerroux, pour une durée de cinq ans, à Yves Perrigaud et sa femme. Sa constitution aurait donc pu se faire entre ces deux dates. La ferme, figurant sur le cadastre de 1819, a été reconstruite au même endroit en 1885 d'après le registre des augmentations-diminutions (1819 Y1 820), puis remaniée au XXe siècle. La remise-fournil date peut-être aussi de cette époque, bien qu'elle soit signalée également sur le cadastre ancien.
Patrimoine culturel;Architecture;Ferme dite métairie de Kervin puis rangée de maisons, 1er ensemble;;44350;GUERANDE;44069;47.33416059591447;-2.3624428359155916;47.33416059591447, -2.3624428359155916;;;;Temps modernes;Ancienne métairie signalée sur le cadastre de 1819 et peut-être légèrement antérieure à cette date, au moins pour la partie est (2000 YK 203). Elle est attestée dans le registre de la capitation en 1720 et alors occupée par Aubin Éon qui en doit 4 livres. Sur le cadastre de 1819, la métairie se composait d'un corps de bâtiments en L ouvrant sur une cour avec four à pain au nord. À l'origine, sans doute couverte en roseau, elle se prolonge à l'est par un toit à porcs également couvert en roseau. Le four à pain, au nord, a visiblement été englobé dans la construction de la deuxième ferme. La métairie est devenue une rangée d'habitations dans le courant du XIXe siècle ou au début du XXe siècle.
Patrimoine culturel;Architecture;Ferme dite métairie de la Berthelothais;;44350;GUERANDE;44069;47.3391226941274;-2.402822640581107;47.3391226941274, -2.402822640581107;;;;Temps modernes;Ancienne métairie signalée dès 1720 dans le rôle de la capitation. À cette date, elle est affermée à Jan Viau qui en doit 5 livres. Elle dépendait du manoir de Renelouard encore visible sur le cadastre de 1819. L'ancien logis a été converti en 1855 en bâtiment de ferme. Le logis actuel a été reconstruit en 1857 (registre des augmentations-diminutions), puis remanié au XXe siècle.
Patrimoine culturel;Architecture;Ferme dite métairie de Léchet;;44350;GUERANDE;44069;47.336872724739365;-2.4350954523166126;47.336872724739365, -2.4350954523166126;;;;Temps modernes;La métairie de Léchet qui dépendait du manoir éponyme est signalée dès 1619 dans un aveu rendu au Roi par Philippe de la Bouexière. L'aveu la signale couverte en bourre. En 1720, elle est signalée dans le rôle de la capitation. Olivier Mahé, à qui elle est alors affermée, en doit 6,1 livres tournois. En 1749, elle est à nouveau cité dans un aveu rendu par Auguste Rohan mais couverte d'ardoises. Le bâtiment, bien que remanié au XXe siècle, pourrait dater de l’Époque moderne comme le suggère son pignon découvert au nord et les coyaux de la toiture.
Patrimoine culturel;Architecture;Ferme dite métairie de Mébriant;;44350;GUERANDE;44069;47.3503276385437;-2.3557696505875136;47.3503276385437, -2.3557696505875136;;;;4e quart 18e siècle;Jean Becdelou est signalé comme métayer de Mébriant dans les rôles de capitation en 1720. En 1749, le seigneur de Boga rend aveu pour sa métairie de Mébriand, couverte de bourre, avec ses rues, issues, contenant un journal et demy de terre ou environ.Le noyau le plus ancien se situe à l'est. Il se composait visiblement de deux pièces chauffées en rez-de-chaussée, avec une étable entre les deux. Le logis ouest est venu se greffer dans un second temps, sans doute vers 17[8]7, comme le suggère la date portée sur le linteau de la porte. Un four à pain, actuellement détruit, existait avant 1819. La remise est également antérieure à cette date mais l'étable sur le mur gouttereau nord, à l'arrière du logis et la petite porcherie près de la remise sont postérieures.Un second logis comportant deux pièces d'habitation a été construit au centre de la cour à la fin du XIXe ou au tout début du XXe siècle. L'étable à l'est date aussi, sans doute, de cette époque. Sa construction contribue certainement à l'abandon de l'ancien logis et à son déclassement en parties agricoles.
Patrimoine culturel;Architecture;Ferme dite métairie de Villeblanche;;44350;GUERANDE;44069;47.34844166929165;-2.406562830851521;47.34844166929165, -2.406562830851521;;;;limite 17e siècle 18e siècle;La métairie de Villeblanche est mentionnée dans un aveu de la seigneurie du Cosquer en 1695. Le bâtiment principal pourrait dater des XVIIe ou XVIIIe siècles. Il a été très remanié dans le courant du XXe siècle. La date 1715 sur le linteau de la porte a été sculptée par le propriétaire. Les parties agricoles (porcherie, remise) ont été construites après 1819.
Patrimoine culturel;Architecture;Ferme dite métairie de Villejames;;44350;GUERANDE;44069;47.3271787334885;-2.411294247468554;47.3271787334885, -2.411294247468554;;;;limite 17e siècle 18e siècle;La métairie de Villejames est signalée dès 1679 dans les registres de la réformation colbertienne. En 1720, elle figure dans les rôles de la capitation. À cette date, elle est affermée à Joseph Robert qui en doit 5 livres. La forme des lucarnes à fronton triangulaire et le couvrement de la porte en plein-cintre, connue par des photographies avant la destruction de la métairie en 2005, pourrait suggérer une datation de la fin du XVIIe siècle ou du début du XVIIIe siècle. La ferme a ensuite été très remaniée au milieu du XXe siècle puis détruite en 2005. La ferme a été partiellement remise à jour lors des fouilles archéologiques du manoir de Villejames en 2008. Elle prenait place le long du chemin d'accès menant au manoir, au nord de ce dernier.
Patrimoine culturel;Architecture;Ferme dite métairie de Villeneuve;;44350;GUERANDE;44069;47.32028679143208;-2.413155461865193;47.32028679143208, -2.413155461865193;;;;1ère moitié 17e siècle;La métairie de Villeneuve, dépendant du manoir du même nom, est attestée dès 1652 dans un aveu rendu pour la seigneurie. En 1720, d'après le rôle de la capitation, elle est affermée à Étienne Mahé qui en doit 3,1 livres. Le bâtiment, de plan en L, pourrait dater du XVIIe siècle comme le suggèrent les deux portes en plein-cintre chanfreinées du logis et de l'étable. Il a été augmenté d'un toit à porcs, à l'ouest dans le courant du XIXe siècle. Les autres bâtiments datent sans doute aussi de cette époque. L'intérieur de la métairie a été très remanié au XXe siècle.
Patrimoine culturel;Architecture;Ferme dite métairie du Pilet;;44350;GUERANDE;44069;47.3548657548739;-2.3681060274673573;47.3548657548739, -2.3681060274673573;;;;Temps modernes;La métairie du Pilet est signalée dès 1540 dans un aveu du manoir de Léverac dont elle dépendait. En 1623, elle consistait en maisons couvertes de roz, jardrins, pourpris, rues et yssues. En 1720, elle est affermée à Julien Lohieu qui en doit deux livres (registres de la capitation - frairie de Léveno). Le deuxième logis, construit en moellons de granite enduits, et percé par une porte couverte en plein-cintre constitue sans doute le noyau d'origine de la métairie, telle qu'elle apparaît sur le cadastre de 1819. Ce dernier a été augmenté, à l'est et à l'ouest de trois autres logis, sans doute dans le 1er quart du XXe siècle, constituant actuellement une rangée d'habitations. La porcherie date probablement du XIXe siècle. Le four à pain, signalé sur le cadastre de 1819, est détruit.
Patrimoine culturel;Architecture;Ferme dite métairie du Scodié;;44350;GUERANDE;44069;47.34381885251753;-2.4324394638108733;47.34381885251753, -2.4324394638108733;;;;17e siècle;La métairie du Scodié, dépendant de la frairie de Miroux, est signalée dès 1720 dans les registres de la capitation. À cette date, elle est affermée à Pierre Leberche qui en doit 6 livres. En 1749, Guy-Auguste de Rohan-Chabot rend aveu au Roi pour la maison et métairie noble du Scodié comme elle se contient avec ses rue et issues, son jardin au bout, terres labourables, ses patures, landes [ ] contenant le tout deux cent trente sept journaux. Un collombier ou reffuge à pigeons.Le logis pourrait dater du XVIIe siècle. Il a été flanqué d'une étable en retour d'angle au nord, peut-être dans le courant du XVIIIe siècle. La remise, bien que remaniée et couverte d'une toiture en tuiles mécaniques, est antérieure à 1819.
Patrimoine culturel;Architecture;Ferme puis ateliers de tissage et de teinture, Kergourdin, 2e ensemble;;44350;GUERANDE;44069;47.34293721323726;-2.3596832942952592;47.34293721323726, -2.3596832942952592;;;;3e quart 19e siècle;Ancienne ferme signalée sur le cadastre de 1819, transformée en atelier de tissage et en teinturerie en 1867 d'après le registre des augmentations-diminutions. La maison actuelle a été largement remaniée dans la deuxième moitié du XXe siècle.
Patrimoine culturel;Architecture;Ferme, 1 chemin de l'île Bouzaire;;44350;GUERANDE;44069;47.36730294101246;-2.3822093691018154;47.36730294101246, -2.3822093691018154;;;;2e moitié 19e siècle;Ferme construite à la fin du XIXe siècle ou au tout début du XXe siècle. Elle n'apparaît pas sur le cadastre de 1818.
Patrimoine culturel;Architecture;Ferme, 12 rue de la Butte;;44350;GUERANDE;44069;47.35040055814596;-2.3409272640921026;47.35040055814596, -2.3409272640921026;;;;Temps modernes;Ferme signalée sur le cadastre de 1819, elle a été augmentée vers l'est au XIXe ou au XXe siècle. Remaniée au XXe siècle.
Patrimoine culturel;Architecture;Ferme, 12 rue des Métais;;44350;GUERANDE;44069;47.354664554734825;-2.3696497560830676;47.354664554734825, -2.3696497560830676;;;;3e quart 19e siècle;Ferme construite en 1865 d'après le registre des augmentations-diminutions remaniée au XXe siècle.
Patrimoine culturel;Architecture;Ferme, 12 rue du Pont;;44350;GUERANDE;44069;47.35249811289803;-2.3397935809442094;47.35249811289803, -2.3397935809442094;;;;Temps modernes;"Ferme signalée sur le cadastre de 1819. Le registre des augmentations-diminutions signale une ""augmentation"", peut-être son réhaussement, en 1860. D'après la tradition orale, cette ferme aurait fait office d'auberge au début du XXe siècle."
Patrimoine culturel;Architecture;Ferme, 14 rue des Pradeleaux;;44350;GUERANDE;44069;47.33374389162272;-2.381331083813762;47.33374389162272, -2.381331083813762;;;;1er quart 20e siècle;"Ferme de type ""ternaire"" construite probablement dans les premières décennies du XXe siècle."
Patrimoine culturel;Architecture;Ferme, 14 rue du Pont;;44350;GUERANDE;44069;47.352223426496344;-2.3398633417852555;47.352223426496344, -2.3398633417852555;;;;2e moitié 19e siècle;Ferme construite après 1894, probablement à la limite des XIXe et XXe siècles. Elle n'est pas signalée dans le registre des augmentations-diminutions.
Patrimoine culturel;Architecture;Ferme, 15 chemin du Roc-Cadro;;44350;GUERANDE;44069;47.32583457803701;-2.420598389242867;47.32583457803701, -2.420598389242867;;;;limite 19e siècle 20e siècle;
Patrimoine culturel;Architecture;Ferme, 15 rue des Pradeleaux;;44350;GUERANDE;44069;47.33402832240968;-2.381021944452533;47.33402832240968, -2.381021944452533;;;;Temps modernes;Ferme construite en 1839, comme l'atteste la date portée sur le linteau de la porte et le registre des augmentations-diminutions, à l'emplacement d'une ancienne rangée représentée sur le cadastre de 1819.
Patrimoine culturel;Architecture;Ferme, 18 rue Saint-Exupéry;;44350;GUERANDE;44069;47.35566732957932;-2.366549971698016;47.35566732957932, -2.366549971698016;;;;3e quart 19e siècle;Ferme construite vraisemblablement dans le 4e quart du XIXe siècle, remaniée au XXe siècle.
Patrimoine culturel;Architecture;Ferme, 20 rue des Pradeleaux;;44350;GUERANDE;44069;47.33345372365263;-2.380342805422347;47.33345372365263, -2.380342805422347;;;;Temps modernes;Ferme reconstruite vers 1936 sur un bâtiment plus ancien signalé sur le cadastre de 1819.
Patrimoine culturel;Architecture;Ferme, 23 rue des Pradeleaux;;44350;GUERANDE;44069;47.33366628264032;-2.3802451374434286;47.33366628264032, -2.3802451374434286;;;;2e quart 17e siècle;La date de 1632 est gravée sur le linteau de la porte ouest mais la ferme a sans doute été largement reconstruite en partie haute dans le courant du XIXe siècle. Elle faisait à l'origine partie d'une rangée de trois logis se développant vers le nord.
Patrimoine culturel;Architecture;Ferme, 24 route du Bouzaire;;44350;GUERANDE;44069;47.366090251334995;-2.379181971501993;47.366090251334995, -2.379181971501993;;;;limite 19e siècle 20e siècle;Ferme non signalée sur le cadastre de 1818 donc postérieure à cette date. Elle fut probablement construite dans les dernières années du XIXe siècle ou les premières du XXe siècle.
Patrimoine culturel;Architecture;Ferme, 3 route de la Bouzaire;;44350;GUERANDE;44069;47.36688085201329;-2.3830776389614337;47.36688085201329, -2.3830776389614337;;;;limite 19e siècle 20e siècle;Logis construit vraisemblablement à la fin du XIXe siècle ou dans les premières décennies du XXe siècle.
Patrimoine culturel;Architecture;Ferme, 3 rue de la Fontaine;;44350;GUERANDE;44069;47.29745009586001;-2.413715964166073;47.29745009586001, -2.413715964166073;;;;Temps modernes;"Ferme signalée sur le cadastre de 1819, très remaniée aux XIXe et XXe siècles. La ferme était à l'origine ""greffée"" en retour d'angle sur une rangée d'habitations, conférant à l'ensemble un curieux plan en T."
Patrimoine culturel;Architecture;Ferme, 3, 5 rue de la Riandouille;;44350;GUERANDE;44069;47.33304314619363;-2.467498568432446;47.33304314619363, -2.467498568432446;;;;1ère moitié 16e siècle;Ancienne ferme ouvrant sur une cour. L'ancien logis, servant actuellement de resserre, est datable, d'après la forme de la cheminée, à la première moitié du XVIe siècle (?). Il s'élevait sur deux niveaux : un rez-de-chaussée et un étage de comble. L'écurie à l'est a été construite en 1791. L'absence de fronton sur les lucarnes laisse supposer l'existence d'une couverture primitive en roseau. Les anciennes parties agricoles à l'ouest ont été transformées en habitation dans le courant du XIXe ou du XXe siècle. La construction du logement en bordure de route à l'est date aussi de cette époque.
Patrimoine culturel;Architecture;Ferme, 30 rue des Pradeleaux;;44350;GUERANDE;44069;47.333514932574595;-2.378859012300221;47.333514932574595, -2.378859012300221;;;;limite 19e siècle 20e siècle;La partie est de cette ferme pourrait être antérieure - au moins pour le gros œuvre - à 1819. La ferme a vraisemblablement été reconstruite à l'extrême fin du XIXe siècle ou dans les premières années du XXe siècle. Elle n'apparaît pas dans le registre des augmentations-diminutions. D'après le cadastre ancien, la remise était précédemment une écurie.
Patrimoine culturel;Architecture;Ferme, 31 rue des Pradeleaux;;44350;GUERANDE;44069;47.33363266567747;-2.379502048379273;47.33363266567747, -2.379502048379273;;;;limite 19e siècle 20e siècle;Ferme construite ex-nihilo à l'extrême fin du XIXe siècle ou au tout début du XXe siècle. Elle n'apparaît pas dans le registre des augmentations-diminutions.
Patrimoine culturel;Architecture;Ferme, 32 rue de Kergaigne;;44350;GUERANDE;44069;47.33754152455494;-2.3927620066397446;47.33754152455494, -2.3927620066397446;;;;18e siècle;Par son caractère légèrement isolé au nord de l'écart et son organisation autour d'une cour, cette ferme pourrait être la métairie de Kergaigne attestée dans les registres de la capitation en 1720. Elle était alors occupée par Jan Morice qui en devait 3 livres. Le bâtiment nord figure sur le cadastre de 1819. Il a été augmenté à l'est dans le courant du XIXe siècle. Les parties agricoles attenantes (porcherie, écurie et étable) datent aussi probablement de cette époque.
Patrimoine culturel;Architecture;Ferme, 32 rue des Pradeleaux;;44350;GUERANDE;44069;47.33362395038407;-2.3783141611441976;47.33362395038407, -2.3783141611441976;;;;Temps modernes;Ferme dont la construction est visiblement antérieure à 1819. Elle a été largement remaniée au XXe siècle.
Patrimoine culturel;Architecture;Ferme, 32 rue du Pont;;44350;GUERANDE;44069;47.34935018661354;-2.337626907085637;47.34935018661354, -2.337626907085637;;;;limite 19e siècle 20e siècle;Ferme construite probablement à la limite des XIXe et XXe siècles. Elle n'apparaît pas dans le registre des augmentations-diminutions. Remaniée au XXe siècle.
