Nom de l'offre touristique;Type de l'offre;Adresse partie 2;Code postal;Nom de la commune;Code Insee de la Commune;Latitude;Longitude;localisation;email;N° de téléphone mobile;Url du site web;information 1;information 2
CABANE EN BOIS LA SITTELLE AU CAMPING DU CANAL;Locatif sur camping;Rue Henri II de Rohan;44130;BLAIN;44015;47.4674343;-1.7671327;47.4674343, -1.7671327;;06 88 97 01 79;https://campingducanal.fr/;Cabane   WiFi;Entrée indépendante,Terrasse / Balcon   Fourniture de draps (gratuit),Location de draps,Location/prêt de vélo
CAROULOTTE  AU CAMPING DU CANAL;Locatif sur camping;Rue Henri II de Rohan;44130;BLAIN;44015;47.4674343;-1.7671327;47.4674343, -1.7671327;;06 88 97 01 79;https://campingducanal.fr/;Roulotte   WiFi;Entrée indépendante,Terrasse / Balcon   Location de draps
GÎTE - NOM À DÉFINIR;Meublés;Ruelle des Trois Marchands;44150;ANCENIS-SAINT-GEREON;44003;47.36423;-1.17847;47.36423, -1.17847;;695886203;;   ;   
CHAMBRE D'HÔTES UNE ROULOTTE DANS LES VIGNES;Hébergement insolite;;44540;VALLONS-DE-L'ERDRE;44180;47.45762;-1.11879;47.45762, -1.11879;;06 74 91 03 43;https://domaineduboisrond.fr/une-roulotte-dans-les-vignes/;Roulotte Animal non accepté  Parc/jardin;Entrée indépendante,Jardin indépendant,Parking,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
LA ROUSSELAIS;Meublés;;44460;SAINT-NICOLAS-DE-REDON;44185;47.6395566;-2.0428929;47.6395566, -2.0428929;;;; Animal non accepté  ;   
TENTES SAHARIENNES ÉQUIPÉES AU CAMPING ECO LOIRE;Locatif sur camping;Île Batailleuse;49410;MAUGES-SUR-LOIRE;49244;47.370118;-0.99884;47.370118, -0.99884;;;https://naxiresa.inaxel.com/etape1-criteres.php?compte=ecoloire44;Hébergement léger pour l'itinérance Animal non accepté  Piscine,WiFi;Parking  2 étoiles Location de draps
CHAMBRES D'HOTES AU BAS CHALONGE;Chambres d'hôtes;Le Bas Chalonge;44850;LIGNE;44082;47.384077;-1.344959;47.384077, -1.344959;;;;Maison Animal non accepté  Parc/jardin,Plan d'eau,WiFi;Entrée indépendante,Parking,Plain Pied,Toilettes séparées   Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
STUDETTE DE TRÉJET;Meublés;12 Rue de Tréjet;44118;LA CHEVROLIERE;44041;47.11149;-1.6048;47.11149, -1.6048;;;;Appartement   WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrain clos,Toilettes séparées Micro ondes Non classé 
LOCATION MEUBLÉ;Meublés;4 place d'Armes;44490;LE CROISIC;44049;47.2979873;-2.5150034;47.2979873, -2.5150034;;;;Appartement Animal non accepté  ;Parking Equipement bébé,Lave linge,Lave vaisselle,Micro ondes Non classé 
CHAMBRE D'HÔTES AU PIED DE LA TOUR;Chambres d'hôtes;29 rue du Château;44521;OUDON;44115;47.3451386;-1.2894926;47.3451386, -1.2894926;;06 32 39 28 03;; Animal non accepté  Parc/jardin,WiFi;Jardin indépendant,Terrain clos,Terrasse / Balcon Micro ondes Non classé 
LE GITE DES VIGNES;Meublés;Les Landes;44330;MOUZILLON;44108;47.122816;-1.307455;47.122816, -1.307455;;;;Maison Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrasse / Balcon,Toilettes séparées Lave linge,Micro ondes Non classé Location de draps,Location de linge,Option nettoyage
GITES NANTES GRANDLIEU  LE GITE JARDIN;Meublés;6 bis,  Rue du Grand Moulin;44860;PONT-SAINT-MARTIN;44130;47.12512;-1.5839;47.12512, -1.5839;;;http://www.gitesnantesgrandlieu.fr;Maison Animal admis  Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Parking,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes Non classé Fourniture de draps (gratuit),Option nettoyage
LES CHAMBRES DE LA DIVATTE;Chambres d'hôtes;11 E LA BREHARDIERE;44450;DIVATTE-SUR-LOIRE;44029;47.3011083;-1.3225916;47.3011083, -1.3225916;;;https://chambredeladivatte.fr/;Maison Animal non accepté  Parc/jardin,WiFi;Jardin indépendant,Local vélo,Parking,Sanitaires privés,Toilettes séparées Equipement bébé,Micro ondes 3 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
CHAMBRE D'HÔTES LA REMISE DE LA MAISON DE BAPTISTE;Chambres d'hôtes;21 Longrais;44850;SAINT-MARS-DU-DESERT;44179;47.3412777;-1.4374916;47.3412777, -1.4374916;;;http://www.maison-baptiste.fr;Maison Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Parking,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Micro ondes 3 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
CHAMBRE D'HÔTES L'ÂTRE DE LA MAISON DE BAPTISTE;Chambres d'hôtes;21 Longrais;44850;SAINT-MARS-DU-DESERT;44179;47.3412777;-1.4374916;47.3412777, -1.4374916;;;http://www.maison-baptiste.fr;Maison Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Micro ondes 3 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
LE MOULIN DE BEL-AIR - ECOGÎTE - CHAMBRE D'HÔTES;Hébergement insolite;4, Lieu-dit Bel Air;44440;JOUE-SUR-ERDRE;44077;47.5151917;-1.3811426;47.5151917, -1.3811426;;769342466;http://www.lemoulindebelair.com;Châteaux et demeures de prestige Animal non accepté  Espace bien-être,Parc/jardin,Piscine,WiFi;Entrée indépendante,Garage,Jardin indépendant,Local vélo,Parking,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Cheminée,Equipement bébé,Lave linge,Sèche linge,Micro ondes 3 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Nettoyage (gratuit)
GITE CHALET DE VACANCES;Meublés;740 La Pageaudière;44521;OUDON;44115;47.3563339;-1.261559;47.3563339, -1.261559;;06 37 16 01 03;;Chalet   Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Terrain clos Lave linge,Micro ondes 1 étoile Option nettoyage
DOMAINE DU CHALONGE GÎTE TILLEUL;Meublés;Chalonge;44810;HERIC;44073;47.401928;-1.585724;47.401928, -1.585724;;;http://www.lechalonge.com/;Maison Animal non accepté  Parc/jardin,Plan d'eau,Tennis,WiFi;Garage,Jardin indépendant,Parking,Terrasse / Balcon Cheminée,Lave linge,Lave vaisselle,Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage
LE GÎTE ROMANTIQUE AU CHÂTEAU DE LA PERVENCHÈRE;Meublés;La Pervenchère;44390;CASSON;44027;47.392991;-1.5158236;47.392991, -1.5158236;;674536770;;Appartement,Châteaux et demeures de prestige Animal non accepté  Parc/jardin;Entrée indépendante,Local vélo,Parking,Sanitaires privés  Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit)
PIRMIL;Meublés;14 avenue François Peltier;44400;REZE;44143;47.191089;-1.544918;47.191089, -1.544918;;;http://www.residspa.com;Appartement Animal non accepté  Espace bien-être,Parc/jardin,Piscine,Piscine couverte,WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrasse / Balcon Lave linge,Sèche linge,Micro ondes  Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Nettoyage (gratuit)
SÈVRE;Meublés;14 avenue François Peltier;44400;REZE;44143;47.191089;-1.544919;47.191089, -1.544919;;;http://www.residspa.com;Maison Animal non accepté  Espace bien-être,Parc/jardin,Piscine,Piscine couverte,WiFi;Parking,Sanitaires privés,Terrasse / Balcon,Toilettes séparées Lave vaisselle,Micro ondes  Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Nettoyage (gratuit)
LA DERMURIE STUDIO 2;Meublés;17 Rue de la Dermurie;44600;SAINT-NAZAIRE;44184;47.28327;-2.2056;47.28327, -2.2056;;;;Appartement Animal non accepté  WiFi;Jardin indépendant,Sanitaires privés,Terrasse / Balcon Micro ondes 2 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit)
LA DERMURIE STUDIO 3;Meublés;17 Rue de la Dermurie;44600;SAINT-NAZAIRE;44184;47.28327;-2.2056;47.28327, -2.2056;;;;Appartement Animal non accepté  WiFi;Sanitaires privés,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Lave vaisselle,Micro ondes 2 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit)
CHAMBRES D'HOTES CHATEAU DE LA GALISSONNIERE;Chambres d'hôtes;La Galissonnière;44330;LE PALLET;44117;47.1409416;-1.3526277;47.1409416, -1.3526277;;;http://www.chateaugalissonniere.fr;Châteaux et demeures de prestige Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Parking,Sanitaires privés Micro ondes Non classé Location de draps,Location de linge
GITE PECHE;Meublés;La Marionnière;44860;PONT-SAINT-MARTIN;44130;47.13464;-1.5882;47.13464, -1.5882;;;https://www.marionniere.fr; Animal admis  Parc/jardin,Piscine,WiFi;Entrée indépendante,Jardin indépendant,Parking,Sanitaires privés,Terrasse / Balcon,Toilettes séparées Cheminée,Lave linge,Lave vaisselle Non classé Fourniture de draps (gratuit),Location/prêt de vélo
Gîte de la Noé Briord;Meublés;2 Rue de la Noé Briord;44580;VILLENEUVE-EN-RETZ;44021;47.02713;-1.879442;47.02713, -1.879442;;;https://www.gites-de-france-loire-atlantique.com/fr/location/locations-gites-saint-hilaire-de-chaleons-gite-de-la-noe-briord-h44g025178;Maison Animal non accepté  WiFi;Garage,Jardin indépendant,Parking,Terrasse / Balcon Equipement bébé,Lave linge,Lave vaisselle,Micro ondes  Fourniture de draps (gratuit),Location de linge
MEUBLÉ DE MONSIEUR ET MADAME GUÉRIF;Meublés;7 Avenue de St Nazaire - Saint-Marc sur mer;44600;SAINT-NAZAIRE;44184;47.2385088;-2.2798245;47.2385088, -2.2798245;;06 15 99 47 23;;Appartement Animal non accepté  ;Entrée indépendante,Garage,Terrasse / Balcon,Toilettes séparées Equipement bébé,Micro ondes 2 étoiles Option nettoyage
GÎTE DU JARDIN DES FAUBOURGS;Meublés;5 Rue du Faubourg Saint-Michel;44110;CHATEAUBRIANT;44036;47.718297;-1.3697281;47.718297, -1.3697281;;06 17 42 01 03;www.enpaysdelaloire.com/hebergements/gites-et-locations-de-meubles/gite-du-jardin-des-faubourgs;Appartement Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Local vélo,Parking,Plain Pied,Sanitaires privés,Terrasse / Balcon Equipement bébé  Fourniture de draps (gratuit),Fourniture de linge (gratuit)
GÎTE D'ETAPE LA BERGERIE;Meublés;;44116;VIEILLEVIGNE;44216;46.9532428;-1.425115;46.9532428, -1.425115;;06 25 02 61 02;http://www.domainedelecorce.com;Maison Animal non accepté  Parc/jardin,Piscine couverte,WiFi;Entrée indépendante,Jardin indépendant,Local vélo,Parking,Plain Pied,Sanitaires privés,Terrain clos,Toilettes séparées Cheminée,Equipement bébé,Lave linge,Lave vaisselle,Micro ondes 3 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location de draps,Location de linge,Option nettoyage,Nettoyage (gratuit)
L'ARBRE ÉMAILLÉ;Chambres d'hôtes;5 La Rambellerie;44290;GUEMENE-PENFAO;44067;47.637978;-1.807576;47.637978, -1.807576;;06 26 55 57 44;www.larbreemaille.com;Maison Animal non accepté  Parc/jardin,WiFi;Parking Equipement bébé,Micro ondes  Fourniture de linge (gratuit),Nettoyage (gratuit)
DOMAINE DE L'AVENIR - GÎTE;Meublés;L'Avenir;44170;NOZAY;44113;47.5881981;-1.6039052;47.5881981, -1.6039052;;06 73 24 70 35;https://www.domaine-de-lavenir.com/;Maison Animal non accepté  Parc/jardin,Plan d'eau,WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Terrain clos,Toilettes séparées Micro ondes Non classé Fourniture de draps (gratuit),Nettoyage (gratuit)
LES PENATES DE LOIRE;Meublés;34 rue d'Anjou;44150;ANCENIS-SAINT-GEREON;44003;47.3658311;-1.1783817;47.3658311, -1.1783817;;06 17 67 97 00;https://www.lespenatesdeloire.com/;Appartement Animal admis  WiFi;Entrée indépendante,Jardin indépendant,Sanitaires privés,Terrain clos,Toilettes séparées Equipement bébé,Micro ondes 3 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
LA CHAUMINE;Meublés;81 Rue Ferdinand Buisson;44600;SAINT-NAZAIRE;44184;47.25735;-2.24162;47.25735, -2.24162;;;;Maison Animal admis  Espace bien-être,Parc/jardin,Piscine couverte,WiFi;Entrée indépendante,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon Cheminée,Lave vaisselle,Micro ondes Non classé Fourniture de draps (gratuit),Location de draps,Location de linge,Location/prêt de vélo,Option nettoyage
MEUBLE LAURIERS ST MARC;Meublés;2 Chemin des Lauriers;44600;SAINT-NAZAIRE;44184;47.24797;-2.27687;47.24797, -2.27687;;;https://locations.hoomy.fr/location/maison-saint-nazaire-villa-6-pers-10mn-a-pied-de-la-plage-a-saint-marc-380109.html;Maison Animal non accepté  WiFi;Entrée indépendante,Garage,Jardin indépendant,Local vélo,Parking,Sanitaires privés,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Lave vaisselle,Micro ondes  Option nettoyage
UN PETIT BOUT DE PARADIS;Chambres d'hôtes;53 Avenue François Mitterrand;44600;SAINT-NAZAIRE;44184;47.2687756;-2.2286515;47.2687756, -2.2286515;;06 81 97 09 05;;Maison Animal non accepté  Parc/jardin,WiFi;Garage,Local vélo,Terrain clos Lave linge,Sèche linge,Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit)
LA CHAMBRE D'ETRIEL;Chambres d'hôtes;54 Rue d'Étriel;44460;SAINT-NICOLAS-DE-REDON;44185;47.64883;-2.05621;47.64883, -2.05621;;06 88 38 49 65;;Maison Animal non accepté  Borne de recharge pour véhicules électriques,Parc/jardin;Parking,Terrain clos,Terrasse / Balcon Lave linge  Tables d'hôtes
CHERRY TREE FARM;Meublés;;44290;MASSERAC;44092;47.672198;-1.914728;47.672198, -1.914728;;;;   ;   
AU BOIS DE L'ERDRE;Meublés;;44540;VALLONS-DE-L'ERDRE;44180;47.5264684;-1.2012064;47.5264684, -1.2012064;;;;Maison Animal non accepté  Parc/jardin;Entrée indépendante,Jardin indépendant,Local vélo,Parking,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Cheminée,Equipement bébé,Lave linge,Lave vaisselle,Micro ondes Non classé 
L'IMPRÉVU;Chambres d'hôtes;1 Le Bois Clair;44320;SAINT-PERE-EN-RETZ;44187;47.23929;-2.02947;47.23929, -2.02947;;06 65 97 72 19;http://www.gite-imprevu.com;Maison   Parc/jardin;Entrée indépendante,Cheminée,Garage Cheminée 2 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit)
Les Salins - Appartement duplex - Mme Soria;Meublés;1 rue de la Gare;44740;BATZ-SUR-MER;44010;47.27906;-2.48023;47.27906, -2.48023;;;https://gitelessalinsdebatzsurmer.com;Appartement Animal non accepté  ;Parking Lave linge 2 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit)
CHAMBRES D'HOTES ESCAPADE GLAMOUR;Chambres d'hôtes;1 Rue du Grand Condé;44520;MOISDON-LA-RIVIERE;44099;47.60718;-1.34861;47.60718, -1.34861;;06 20 82 62 39;www.escapade-glamour.com;   Espace bien-être,WiFi;Terrasse / Balcon  4 étoiles 
VILLA 1ÈRE - HABITAT PARTAGE;Meublés;1 Rue Gutenberg;44110;CHATEAUBRIANT;44036;47.72059;-1.37721;47.72059, -1.37721;;06 62 69 95 84;;   WiFi;   
Location de vacances - Appartement 4 personnes - Les Marsouins  n°3;Meublés;10 boulevard des Marsouins;44510;LE POULIGUEN;44135;47.26067;-2.43599;47.26067, -2.43599;;06 36 13 28 45;; Animal non accepté  ;Parking,Plain Pied,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave vaisselle,Micro ondes 3 étoiles Location de draps
Location de vacances - Appartement 4 personnes - Les Marsouins  n°4;Meublés;10 boulevard des Marsouins;44510;LE POULIGUEN;44135;47.26067;-2.43599;47.26067, -2.43599;;06 36 13 28 45;; Animal non accepté  ;Parking,Plain Pied,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave vaisselle,Micro ondes 3 étoiles Location de draps
CHAMBRE D'HOTES LA GRENOUILLERE;Chambres d'hôtes;106 le Clos Papin;44310;SAINT-PHILBERT-DE-GRAND-LIEU;44188;47.0278;-1.64992;47.0278, -1.64992;;;;Maison Animal admis  Parc/jardin,Plan d'eau,WiFi;Entrée indépendante,Parking,Plain Pied,Sanitaires privés,Toilettes séparées Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
Votre chez vous;Meublés;11 rue du Bran;44160;CROSSAC;44050;47.4144;-2.17056;47.4144, -2.17056;;;;Maison Animal non accepté  ;Jardin indépendant,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes 3 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit)
LOCATION MAISON FAMILIALE 6 PERS;Meublés;11 rue du Port;44210;PORNIC;44131;47.1131956;-2.100824;47.1131956, -2.100824;;06 58 85 74 65;;Maison Animal non accepté  ;Parking,Terrain clos,Terrasse / Balcon Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes Non classé 
Sémaphore;Meublés;11 rue du Sémaphore;44770;PREFAILLES;44136;47.133648;-2.243342;47.133648, -2.243342;;;https://www.gites-de-france-loire-atlantique.com/fr/location/locations-gites-prefailles-semaphore-h44g011839;Maison Animal non accepté  WiFi;Jardin indépendant,Parking,Terrain clos,Terrasse / Balcon Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes  Location de draps,Location de linge,Location/prêt de vélo
GÎTE DUPREZ;Meublés;12 Rue du Bourg Saint-Martin;44270;MACHECOUL-SAINT-MEME;44087;46.99067;-1.80547;46.99067, -1.80547;;07 89 66 66 86;;Maison   WiFi;Entrée indépendante,Parking,Plain Pied,Sanitaires privés  Non classé 
GÎTE DES BOIS;Meublés;14 Allée Olivier V de Clisson;44130;BLAIN;44015;47.46307;-1.7608;47.46307, -1.7608;;681533551;https://gitedesbois44.fr;Maison Animal non accepté SP accessible Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Local vélo,Parking,Plain Pied,Sanitaires privés,Terrasse / Balcon,Toilettes séparées Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes 3 étoiles Location de draps,Location de linge,Option nettoyage
LE GRAFFI'TY;Meublés;16 rue de la Graffinière;44160;BESNE;44013;47.36824;-2.04632;47.36824, -2.04632;;;http://www.gitelegraffity.fr/;Maison Animal non accepté  ;Terrain clos,Terrasse / Balcon Equipement bébé Non classé Fourniture de draps (gratuit)
Crystal Love Appart;Chambres d'hôtes;2 avenue de la Mer;44380;PORNICHET;44132;47.26788;-2.3475;47.26788, -2.3475;;;http://www.crystal-loveappart.fr; Animal non accepté  Espace bien-être,WiFi;Entrée indépendante,Plain Pied,Sanitaires privés,Terrasse / Balcon   
CHAMBRES D'HOTES LA MÉRAIS;Chambres d'hôtes;2 La Mérais;44170;MARSAC-SUR-DON;44091;47.585112;-1.6880189;47.585112, -1.6880189;;06 86 45 09 43;;Maison Animal non accepté  WiFi;   
CHAMBRES D'HÔTES LE MAS MILOD;Chambres d'hôtes;2 Lieu-dit La Bernardière;44650;LEGE;44081;46.90388;-1.58238;46.90388, -1.58238;;;www.chambres-masmilod.com;Maison Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Parking,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Micro ondes Non classé Fourniture de draps (gratuit)
GÎTE LE FOURNEAU;Meublés;2 rue de la Halle au Fourneau;44520;MOISDON-LA-RIVIERE;44099;47.6047857;-1.3486152;47.6047857, -1.3486152;;;;Maison   WiFi;  2 étoiles 
CHAMBRE D'HOTES CHEZ DANIEL ET CATHERINE;Chambres d'hôtes;20 Rue de la Buchetière;44118;LA CHEVROLIERE;44041;47.0755809;-1.576404;47.0755809, -1.576404;;;http://chezdanieletcatherine.fr;   Piscine,WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées  Non classé Fourniture de linge (gratuit),Nettoyage (gratuit)
NUIT INSOLITE AU MOULIN DE BRUC;Chambres d'hôtes;21 Rue du Morbihan;44560;PAIMBOEUF;44116;47.28524;-2.03646;47.28524, -2.03646;;06 85 85 24 32;https://www.fleursdesoleil.fr/chambre-d-hotes/paimboeuf/moulin-de-bruc/9717;Maison   WiFi;Entrée indépendante,Parking Equipement bébé,Micro ondes  
MEUBLÉ DU PIN;Meublés;235 Rue du Pin;44240;SUCE-SUR-ERDRE;44201;47.3395094;-1.5293927;47.3395094, -1.5293927;;06 46 39 50 83;;Maison   ;Entrée indépendante,Local vélo,Plain Pied,Sanitaires privés,Terrain clos  Non classé 
CHAMBRE D'HÔTES LA PETITE MAISON;Chambres d'hôtes;29 route de la loeuf;44119;GRANDCHAMP-DES-FONTAINES;44066;47.3616516;-1.6221973;47.3616516, -1.6221973;;06 49 36 60 85;https://www.lesechappeesromantiques.fr/?gclid=CjwKCAiAr4GgBhBFEiwAgwORrbpzJwpMZoBt6KvCW6yxDHx3RpaJbI2HHpT4sYigSMumZaE0SV-qQRoCdUoQAvD_BwE;Maison Animal non accepté  Espace bien-être,Parc/jardin;Entrée indépendante,Jardin indépendant,Parking,Terrain clos,Terrasse / Balcon,Toilettes séparées Cheminée,Micro ondes 2 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
Location de vacances - Maison 8 personnes - M. Morio;Meublés;295 rue de Tréyo;44420;MESQUER;44097;47.40973;-2.48268;47.40973, -2.48268;;06 31 55 53 82;;Maison Animal non accepté  ;Local vélo,Parking,Terrain clos,Terrasse / Balcon,Toilettes séparées Lave linge,Sèche linge,Lave vaisselle,Micro ondes 3 étoiles 
Maison 4 personnes - Mme Baton;Meublés;36 rue des Albatros;44420;LA TURBALLE;44211;47.35793;-2.50804;47.35793, -2.50804;;;;Maison Animal non accepté  ;Local vélo,Parking,Terrain clos,Toilettes séparées Lave linge,Lave vaisselle,Micro ondes  
Villandry;Chambres d'hôtes;38 route de Kerlan;44740;BATZ-SUR-MER;44010;47.27575;-2.47363;47.27575, -2.47363;;06 87 81 29 28;;Maison Animal admis  WiFi;Parking,Sanitaires privés Equipement bébé  Location/prêt de vélo
AU PRESSOIR SANS PRESSION;Chambres d'hôtes;4 impasse de Suza;44630;PLESSE;44128;47.514694;-1.940833;47.514694, -1.940833;;06 59 34 67 85;www.au-pressoir-sans-pression.fr;Maison Animal non accepté  Espace bien-être;Entrée indépendante,Parking,Plain Pied,Terrasse / Balcon,Toilettes séparées Cheminée,Equipement bébé  Location/prêt de vélo,Tables d'hôtes
CHAMBRE D'HÔTES LE ROSSIGNOL;Chambres d'hôtes;4 Impasse du Rossignol;44360;SAINT-ETIENNE-DE-MONTLUC;44158;47.2793961;-1.7782069;47.2793961, -1.7782069;;;https://www.chambres-hotes.fr/chambres-hotes_chambre-d-hotes-le-rossignol_saint-etienne-de-montluc_54854.htm;Maison   Parc/jardin,Piscine,WiFi;Garage,Parking,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Micro ondes  Fourniture de draps (gratuit),Nettoyage (gratuit)
MEUBLÉ LES GRANDES VIGNES;Meublés;5 Chemin des Grandes Vignes;44850;LE CELLIER;44028;47.3197761;-1.3447625;47.3197761, -1.3447625;;06 35 23 29 64;;Maison Animal non accepté  ;Local vélo,Parking,Terrasse / Balcon   Fourniture de draps (gratuit),Fourniture de linge (gratuit)
La Guérandière;Chambres d'hôtes;5 rue Vannetaise;44350;GUERANDE;44069;47.32942;-2.42937;47.32942, -2.42937;;;http://www.guerandiere.com; Animal admis  Espace bien-être,WiFi;Entrée indépendante,Parking,Sanitaires privés   Location/prêt de vélo
GÎTE BEL AIR;Meublés;5, Bel Air;44360;CORDEMAIS;44045;47.317061;-1.778052;47.317061, -1.778052;;06 83 96 09 94;;Maison Animal non accepté  Climatisation,Parc/jardin,Piscine,Tennis;Entrée indépendante,Jardin indépendant,Parking,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Micro ondes Non classé Location de draps,Location de linge,Option nettoyage
APPART'HÔTEL CHÂTEAUBRIANT;Meublés;5-7 Rue de la Vannerie;44110;CHATEAUBRIANT;44036;47.717839;-1.375774;47.717839, -1.375774;;06 66 80 27 07;www.apparthotelchateaubriant.com;Appartement   WiFi;Entrée indépendante,Sanitaires privés  Non classé 
Location de vacances - Villa de 10-14 personnes - Entre sel et sable;Meublés;60 rue de Ker d'Abas;44740;BATZ-SUR-MER;44010;47.27762;-2.48218;47.27762, -2.48218;;+33 (0) 681 913 102;http://www.entreseletsable.com;Maison Animal non accepté  Piscine;Garage,Jardin indépendant,Parking,Terrain clos,Terrasse / Balcon,Toilettes séparées Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes 5 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit)
Appartement 6 personnes - M. Moreaux;Meublés;73 rue François Bougouin;44510;LE POULIGUEN;44135;47.26313;-2.41915;47.26313, -2.41915;;06 50 72 95 74 (Audrey);http://www.pouliloc.com;Appartement Animal non accepté  ;Local vélo,Parking,Plain Pied,Terrasse / Balcon Equipement bébé,Lave linge,Lave vaisselle,Micro ondes 3 étoiles Location de draps
Appartement 8 personnes *** - TORTIGER Jean-Michel;Meublés;82 avenue du Littoral;44380;PORNICHET;44132;47.24101;-2.30832;47.24101, -2.30832;;06 64 54 04 96;;Appartement Animal non accepté  ; Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes 3 étoiles 
MADAME QUINONES;Chambres d'hôtes;9 chemin des écoles;44460;AVESSAC;44007;47.6527596;-1.9889395;47.6527596, -1.9889395;;;; Animal admis  Parc/jardin;Plain Pied,Terrain clos,Terrasse / Balcon Cheminée,Lave linge,Lave vaisselle  
LES PILOTIS;Meublés;9 Moulin de Plaisance;44360;CORDEMAIS;44045;47.3192758;-1.7943788;47.3192758, -1.7943788;;06 87 69 24 93;;Maison Animal non accepté  Piscine,WiFi;Entrée indépendante,Jardin indépendant,Parking,Sanitaires privés,Terrasse / Balcon Equipement bébé,Lave vaisselle,Micro ondes  Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
Location de vacances - Maison 5 personnes - Mme Caillat;Meublés;9 rue de l'Echappée;44420;PIRIAC-SUR-MER;44125;47.37981;-2.54838;47.37981, -2.54838;;;;Maison Animal non accepté  ;Plain Pied,Terrain clos Lave linge,Lave vaisselle,Micro ondes 2 étoiles 
